добавка,всего_публикаций,rct,мета_анализы,score,openalex_works,wiki_views,trends_5y
Креатин,2305,115,25,240,-1,0,17.87786259541985
Омега-3,3197,327,107,862,-1,0,0.0076335877862595
Витамин D,4062,175,87,610,-1,0,17.698473282442748
B12,2088,124,50,374,-1,0,4.473282442748092
Магний,2706,57,23,172,-1,0,43.6412213740458
Кофеин,2688,385,39,580,-1,0,28.904580152671755
L-Теанин,218,44,2,54,-1,0,0.7213740458015268
Бакопа,341,26,2,36,1351,0,0.0725190839694656
Ежовик,84,4,0,4,387,0,0.1870229007633587
Гинкго,1144,145,47,380,-1,0,1.2442748091603053
Родиола,137,11,4,31,-1,0,0.42748091603053434
Ашваганда,257,11,2,21,-1,0,29.31679389312977
Фосфатидилсерин,508,25,2,35,-1,0,0.25572519083969464
Alpha-GPC,61,8,2,18,697,0,0.0
CDP-холин,320,48,8,88,-1,0,0.14885496183206107
Гуперзин А,255,8,8,48,-1,0,0.0687022900763358
Куркумин,1882,13,12,73,-1,0,2.385496183206107
Ресвератрол,1611,24,9,69,-1,0,1.9083969465648856
NAC,728,41,14,111,-1,0,0.1259541984732824
Цинк,6560,93,45,318,-1,0,44.30152671755725
Тирозин,9970,264,39,459,36381,0,7.690839694656488
Таурин,750,47,7,82,-1,0,5.759541984732825
CoQ10,505,20,3,35,3023,0,2.2061068702290076
Пикногенол,90,8,5,33,-1,0,0.5305343511450382
Готу кола,218,2,2,12,-1,0,1.4770992366412214
Мелатонин,7544,643,140,1343,-1,0,24.767175572519083
ГАБА,16077,655,96,1135,-1,0,38.37404580152672
Глицин,407,17,1,22,25550,0,3.2977099236641223
Валериана,328,44,9,89,-1,0,1.5190839694656488
Бета-аланин,2994,175,45,400,-1,0,0.1259541984732824
L-цитруллин,3093,174,68,514,-1,0,0.4732824427480916
Витамин C,6875,337,82,747,-1,0,46.91984732824427
Эхинацея,473,36,9,81,8915,0,0.5763358778625954
Бузина,222,9,1,14,-1,0,1.5229007633587786
Зверобой,1046,88,39,283,7053,0,0.0076335877862595
5-HTP,672,27,2,37,-1,0,1.6564885496183206
Коллаген,61682,912,120,1512,-1,0,13.63358778625954
Пробиотики,34700,1920,582,4830,-1,0,1.5725190839694656
B9,3094,238,76,618,-1,0,0.3549618320610687
Железо,49774,2318,586,5248,-1,0,45.29007633587786
Триптофан,5332,290,42,500,61308,0,2.4618320610687023
