добавка,pmid,цитирований,год
Омега-3,42494300,0,2026
Витамин D,42295493,0,2026
B12,42227307,1,2026
Кофеин,42588143,0,2026
L-Теанин,40314930,12,2025
Бакопа,24252493,164,2013
Гинкго,41641880,2,2026
Ашваганда,36017529,73,2022
Фосфатидилсерин,33539192,14,2021
Куркумин,40813857,13,2025
Ресвератрол,41987155,0,2026
Цинк,42280439,1,2026
Таурин,41803812,1,2026
CoQ10,38630421,11,2024
Готу кола,28878245,131,2017
Креатин,39070254,42,2024
Магний,39009081,30,2024
Родиола,30564123,32,2018
Alpha-GPC,36683513,47,2023
CDP-холин,36678257,29,2023
Гуперзин А,24086396,235,2013
Пикногенол,41333026,1,2025
