добавка,всего_публикаций,rct,мета_анализы,score,вердикт,цена_мес,trends_5y
Витамин D,4071,175,86,605,0,205.0,10.9
Кофеин,2692,385,39,580,1,266.0,17.6
Омега-3,2366,295,52,555,1,543.0,13.1
Тирозин,9979,264,39,459,0,980.0,5.5
Гинкго,1144,145,47,380,-1,326.0,11.6
B12,2089,124,50,374,0,262.0,17.3
Цинк,6559,95,45,320,0,532.0,65.6
Креатин,2312,116,25,241,1,469.0,43.1
Магний,2704,57,23,172,0,330.0,146.2
NAC,729,41,14,111,0,1259.0,3.4
CDP-холин,320,48,8,88,0,1857.0,0.0
Таурин,750,47,7,82,-1,526.0,25.0
Куркумин,2096,15,13,80,-1,820.0,5.5
Ресвератрол,1610,24,9,69,-1,599.0,4.9
L-Теанин,218,44,2,54,1,709.0,0.0
Гуперзин А,255,8,8,48,0,958.0,0.0
Бакопа,341,26,2,36,1,398.0,3.4
CoQ10,505,20,3,35,-1,357.0,0.1
Фосфатидилсерин,508,25,2,35,0,1346.0,0.7
Родиола,137,11,4,31,0,299.0,3.2
Пикногенол,75,7,4,27,-1,1718.0,0.0
Ашваганда,257,11,2,21,1,,7.4
Alpha-GPC,61,8,2,18,0,1316.0,0.0
Готу кола,218,2,2,12,-1,339.0,0.8
Ежовик,79,4,0,4,-1,539.0,13.1
