добавка,всего_публикаций,rct,мета_анализы,score,вердикт,wiki_views,trends_5y,цена_мес,отзывов_сумма,ongoing_trials
Креатин,2305,115,25,240,1,172591.0,43.1,469.0,191221.0,196
Омега-3,3197,327,107,862,1,49594.0,13.1,543.0,447.0,0
Витамин D,4062,175,87,610,0,137275.0,10.9,205.0,13623.0,0
B12,2088,124,50,374,0,102227.0,17.3,262.0,7796.0,0
Магний,2706,57,23,172,0,93483.0,146.2,330.0,302.0,160
Кофеин,2688,385,39,580,1,103087.0,17.6,266.0,2187.0,129
L-Теанин,218,44,2,54,1,19356.0,0.0,709.0,297236.0,0
Бакопа,341,26,2,36,1,6583.0,3.4,398.0,6397.0,1
Ежовик,84,4,0,4,-1,137186.0,13.1,539.0,9561.0,0
Гинкго,1144,145,47,380,-1,87842.0,11.6,326.0,2315.0,10
Родиола,137,11,4,31,0,59415.0,3.2,299.0,77292.0,1
Ашваганда,257,11,2,21,1,0.0,7.4,,551.0,0
Фосфатидилсерин,508,25,2,35,0,25223.0,0.7,1346.0,1598.0,7
Alpha-GPC,61,8,2,18,0,15442.0,0.0,1316.0,933.0,0
CDP-холин,320,48,8,88,0,31044.0,0.0,1857.0,379.0,0
Гуперзин А,255,8,8,48,0,329.0,0.0,958.0,892.0,3
Куркумин,1882,13,12,73,-1,31187.0,5.5,820.0,1516.0,0
Ресвератрол,1611,24,9,69,-1,76475.0,4.9,599.0,2269.0,9
NAC,728,41,14,111,0,66356.0,3.4,1259.0,2054.0,25
Цинк,6560,93,45,318,0,73624.0,65.6,532.0,3354.0,75
Тирозин,9970,264,39,459,0,42658.0,5.5,980.0,4945.0,169
Таурин,750,47,7,82,-1,115795.0,25.0,526.0,160751.0,20
CoQ10,505,20,3,35,-1,1299.0,0.1,357.0,21117.0,0
Пикногенол,90,8,5,33,-1,0.0,0.0,1718.0,92.0,0
Готу кола,218,2,2,12,-1,19315.0,0.8,339.0,70449.0,0
Мелатонин,335,84,11,139,1,0.0,24.767175572519083,284.0,,0
ГАБА,43,2,1,7,-1,0.0,38.37404580152672,593.0,,0
Глицин,5,0,0,0,0,0.0,3.2977099236641223,407.0,,4
Валериана,328,44,9,89,-1,0.0,1.5190839694656488,645.0,,0
Бета-аланин,2994,175,45,400,1,0.0,0.1259541984732824,228.0,,5
L-цитруллин,171,67,10,117,1,0.0,0.4732824427480916,102.0,,7
Витамин C,6875,337,82,747,0,0.0,46.91984732824427,379.0,,0
Эхинацея,473,36,9,81,-1,0.0,0.5763358778625954,196.0,,1
Бузина,222,9,1,14,0,0.0,1.5229007633587786,365.0,,0
Зверобой,853,63,31,218,1,0.0,0.0076335877862595,241.0,,0
5-HTP,672,27,2,37,0,0.0,1.6564885496183206,635.0,,4
Коллаген,378,49,4,69,1,0.0,13.63358778625954,166.0,,333
Пробиотики,8652,869,238,2059,0,0.0,1.5725190839694656,1672.0,,470
B9,320,31,13,96,0,0.0,0.3549618320610687,281.0,,0
Железо,6879,888,197,1873,0,0.0,45.29007633587786,651.0,,461
Триптофан,568,47,5,72,0,0.0,2.4618320610687023,591.0,,27
Глюкозамин + хондроитин,310,52,26,182,-1,,,477.6666666666667,,0
Витамин E,12,9,1,14,-1,,,245.9,,1
Биотин,1,0,0,0,0,,,604.8,,0
L-карнитин,4,0,0,0,0,,,,,0
BCAA,15,5,0,5,-1,,,,,2
Аргинин,75,2,0,2,0,,,229.57142857142856,,1
Кальций,1164,195,46,425,0,,,,,1
Гиалуроновая кислота,0,0,0,0,0,,,779.0,,0
Псиллиум,1,0,0,0,1,,,,,1
Имбирь,71,14,6,44,1,,,135.3,,0
Чеснок,13,1,0,1,0,,,,,0
Клюква,53,10,3,25,0,,,,,0
Пустырник,0,0,0,0,-1,,,,,0
Боярышник,3,0,0,0,0,,,,,0
Бета-глюканы овса,91,41,8,81,1,,,,,0
Рибофлавин,13,0,1,5,1,,,,,0
Лютеин + зеаксантин,58,3,0,3,0,,,536.25,,0
Инозитол,0,0,0,0,0,,,,,0
Альфа-липоевая кислота,350,40,11,95,0,,,,,2
D-манноза,142,14,3,29,0,,,,,3
Мака,1,1,0,1,0,,,75.82499999999999,,0
Хром,111,21,1,26,-1,,,204.75,,5
Астаксантин,0,0,0,0,0,,,882.0,,0
Расторопша,14,2,0,2,0,,,,,0
Лактоферрин,87,13,2,23,0,,,,,5
SAMe,17,0,0,0,0,,,3023.25,,0
Йохимбин,0,0,0,0,0,,,,,0
Пажитник,0,0,0,0,0,,,,,0
Чёрный тмин,27,1,0,1,0,,,,,0
Трибулус,4,2,0,2,-1,,,666.0,,0
NMN/NR,1,0,1,5,-1,,,,,0
Кордицепс,0,0,0,0,-1,,,385.5,,0
Рейши,0,0,0,0,-1,,,,,0
Хлорофилл,0,0,0,0,-1,,,447.5,,0
Сывороточный протеин,85,42,11,97,1,,,,,5
Глутамин,0,0,0,0,0,,,165.29999999999998,,0
Босвеллия,45,13,5,38,1,,,,,0
Витамин K2,39,1,0,1,0,,,,,0
Берберин,521,17,10,67,1,,,,,3
Кверцетин,169,7,1,12,-1,,,,,0
