funder,papers
National Natural Science Foundation of China,101
National Key R&D Program of China,27
National Institutes of Health (NIH),23
European Union,19
National Research Foundation of Korea (NRF),13
European Regional Development Fund (ERDF),10
CAPES (Brazil),9
National Science Foundation (NSF),9
Canadian Institutes of Health Research (CIHR),8
China Postdoctoral Science Foundation,8
Ministry of Science and Technology of China,7
DFG (Germany),7
Ministry of Education of China,6
NHMRC (Australia),5
CNPq (Brazil),5
CAMS Innovation Fund for Medical Sciences,5
Natural Science Foundation of Hunan Province,5
Ministry of Science and ICT (Korea),5
NIH — NCI,4
FAPESP (Brazil),4
NIH — NIDDK,4
Instituto de Salud Carlos III (Spain),4
Korea government,4
China Agriculture Research System of MOF and MARA,4
National Science and Technology Council (Taiwan),4
NIH — NIGMS,4
U.S. Department of Veterans Affairs,3
Ministry of Science and Technology (Taiwan),3
Dutch Heart Foundation,3
Natural Science Foundation of Jiangsu Province,3
Natural Science Foundation of Guangdong Province,3
American Heart Association,3
Natural Science Foundation of Shandong Province,3
Fundamental Research Funds for the Central Universities,3
JSPS (Japan),3
National Nature Science Foundation of China,3
NIH — NIAID,3
University of Medical Sciences,3
"Faculty of Medicine, Universiti Kebangsaan Malaysia",2
German Research Foundation,2
Natural Sciences and Engineering Research Council of Canada,2
Danish Dairy Research Foundation,2
Natural Science Foundation of China,2
Hunan Provincial Science and Technology Department,2
State Administration of Traditional Chinese Medicine of the People's Republic of China,2
Natural Science Foundation of Hubei Province,2
Mushroom Technology System of Shandong Province,2
Turkish Academy of Sciences,2
Natural Science Foundation of Liaoning Province,2
Natural Science Foundation of Zhejiang Province,2
Science Foundation Ireland,2
NIH — NIA,2
Howard Hughes Medical Institute,2
Biotechnology and Biological Sciences Research Council,2
Natural Science Basic Research Program of Shaanxi,2
Chengdu University of Traditional Chinese Medicine,2
CACMS Innovation Fund,2
National Institute for Health Research,2
Alzheimer’s Research UK,2
Academy of Finland,2
Leducq Foundation,2
Lombardy Region,2
NIH/NIA,2
Fundamental Research Grant Scheme,2
Japan Agency for Medical Research and Development,2
JST SPRING,2
UK Medical Research Council,2
Guangdong Basic and Applied Basic Research Foundation,2
Russian Science Foundation,2
Slovenian Research Agency,2
Science and Technology Planning Project of Guangzhou,2
JSPS KAKENHI,2
Science and Technology Assistance Agency of the Slovak Republic,2
Slovak Grant Agency VEGA,2
North Carolina Agricultural Foundation,2
USDA-NIFA Hatch,2
National Science Centre,2
ZonMw,2
HUN-REN Hungarian Research Network,2
Mahidol University,2
China Agriculture Research System,2
Fundação para a Ciência e a Tecnologia,2
Medical University of Lublin,2
Science and Technology Commission of Shanghai Municipality,2
National Center for Advancing Translational Sciences of the NIH,2
Takeda Science Foundation,2
Fondo Europeo de Desarrollo Regional,2
Liaoning Revitalization Talents Program,2
