добавка,pmid,название,год
Креатин,42386462,Comparative safety of lipid-lowering drugs alone or in combination: insights from a systematic review and network meta-analysis.,2026
Креатин,42158825,"Nutritional Supplementation Combined with Exercise for Musculoskeletal Health in Women: A Systematic Review and Meta-Analysis Evaluating Proteins, Ami",2026
Креатин,40790797,A cognitive energy crisis: A systematic review & meta-analysis of effective interventions for pediatric cognitive fatigue post-acquired brain injury.,2026
Креатин,39233493,Non-invasive metabolic biomarkers in initial cognitive impairment in patients with diabetes: A systematic review and meta-analysis.,2024
Креатин,38836510,Safety profile of proprotein convertase subtilisin/kexin type 9 inhibitors alirocumab and evolocumab: an updated meta-analysis and meta-regression.,2024
Креатин,38703861,Biomarkers of mitochondrial dysfunction in autism spectrum disorder: A systematic review and meta-analysis.,2024
Креатин,37357284,Adult Renal Dysfunction and Risk of Dementia or Cognitive Decline: Brain-Kidney Axis Hypothesis Based on a Systematic Review and Meta-Analysis.,2023
Креатин,37148676,Spectroscopic meta-analyses reveal novel metabolite profiles across methamphetamine and cocaine substance use disorder.,2023
Креатин,36281110,The effect of vibration training on delayed muscle soreness: A meta-analysis.,2022
Креатин,35984306,Effects of creatine supplementation on memory in healthy individuals: a systematic review and meta-analysis of randomized controlled trials.,2023
Креатин,35073859,Adverse effects in hematologic malignancies treated with chimeric antigen receptor (CAR) T cell therapy: a systematic review and Meta-analysis.,2022
Креатин,34751136,"Mitochondrial dysfunction, oxidative stress, neuroinflammation, and metabolic alterations in the progression of Alzheimer's disease: A meta-analysis o",2021
Креатин,33881460,"Association of Age, Antipsychotic Medication, and Symptom Severity in Schizophrenia With Proton Magnetic Resonance Spectroscopy Brain Glutamate Level:",2021
Креатин,33581932,Anterior cingulate cortex neurometabolites in bipolar disorder are influenced by mood state and medication: A meta-analysis of (1)H-MRS studies.,2021
Креатин,33383609,Meta-analysis of brain metabolite differences in HIV infection.,2020
Креатин,32761898,A systematic review and meta-analysis of children with coronavirus disease 2019 (COVID-19).,2021
Креатин,32610337,Magnetic Resonance Spectroscopy following Mild Traumatic Brain Injury: A Systematic Review and Meta-Analysis on the Potential to Detect Posttraumatic ,2020
Креатин,31838195,Neurochemical profiles in hereditary ataxias: A meta-analysis of Magnetic Resonance Spectroscopy studies.,2020
Креатин,28416755,Efficacy and safety of BRAF inhibition alone versus combined BRAF and MEK inhibition in melanoma: a meta-analysis of randomized controlled trials.,2017
Креатин,27349417,Changes in cerebral metabolites in obstructive sleep apnea: a systemic review and meta-analysis.,2016
Креатин,26402632,Magnetic Resonance Spectroscopy in Alzheimer's Disease: Systematic Review and Meta-Analysis.,2015
