добавка,всего_публикаций,rct,мета_анализы
Креатин,2305,115,25
Омега-3,3197,327,107
Витамин D,4062,175,87
B12,2088,124,50
Магний,2706,57,23
Кофеин,2688,385,39
L-Теанин,218,44,2
Бакопа,341,26,2
Ежовик,84,4,0
Гинкго,1144,145,47
Родиола,137,11,4
Ашваганда,257,11,2
Фосфатидилсерин,508,25,2
Alpha-GPC,61,8,2
CDP-холин,320,48,8
Гуперзин А,255,8,8
Куркумин,1882,13,12
Ресвератрол,1611,24,9
NAC,728,41,14
Цинк,6560,93,45
Тирозин,9970,264,39
Таурин,750,47,7
CoQ10,505,20,3
Пикногенол,90,8,5
Готу кола,218,2,2
Мелатонин,335,84,11
ГАБА,43,2,1
Глицин,5,0,0
Валериана,328,44,9
Бета-аланин,2994,175,45
L-цитруллин,171,67,10
Витамин C,6875,337,82
Эхинацея,473,36,9
Бузина,222,9,1
Зверобой,853,63,31
5-HTP,672,27,2
Коллаген,378,49,4
Пробиотики,8652,869,238
B9,320,31,13
Железо,6879,888,197
Триптофан,568,47,5
Глюкозамин + хондроитин,310,52,26
Витамин E,12,9,1
Витамин K2,39,1,0
Биотин,1,0,0
L-карнитин,4,0,0
BCAA,15,5,0
Аргинин,75,2,0
Кальций,1164,195,46
Гиалуроновая кислота,0,0,0
Псиллиум,1,0,0
Имбирь,71,14,6
Чеснок,13,1,0
Клюква,53,10,3
Пустырник,0,0,0
Боярышник,3,0,0
Берберин,521,17,10
Бета-глюканы овса,91,41,8
Рибофлавин,13,0,1
Лютеин + зеаксантин,58,3,0
Инозитол,0,0,0
Альфа-липоевая кислота,350,40,11
D-манноза,142,14,3
Мака,1,1,0
Хром,111,21,1
Кверцетин,169,7,1
Астаксантин,0,0,0
Расторопша,14,2,0
Лактоферрин,87,13,2
SAMe,17,0,0
Йохимбин,0,0,0
Пажитник,0,0,0
Чёрный тмин,27,1,0
Трибулус,4,2,0
NMN/NR,1,0,1
Кордицепс,0,0,0
Рейши,0,0,0
Хлорофилл,0,0,0
Сывороточный протеин,85,42,11
Глутамин,0,0,0
Босвеллия,45,13,5
